40;57;331;434;435;436;437;1117;1278;1279;1
Derogation_central_13_avril;Derogation_central_13_avril;DOMAINE_FORESTIER;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;DOMIANE_PRIVE_ETAT;Point NV
29867.6089085;346759.287642;69847.0712911;346764.922045;878003.724432;101767.157455;10850.7743061;161476.562271;29865.4936371;23550.2782877;0
29867.608917236328;346759.2876434326;68172.68778991699;346764.92207336426;444098.87141418457;101767.15744018555;10850.774307250977;85604.34178161621;29865.493606567383;23550.278274536133;0.0
